noc,numeric_id,Total_Gold,Total_Silver,Total_Bronze,Total_Medals
AFG,4,0,0,2,2
AHO,0,0,1,0,1
ALG,0,5,4,8,17
ANZ,0,20,4,5,29
ARG,32,91,92,91,274
ARM,51,2,5,9,16
AUS,36,348,455,517,1320
AUT,40,108,186,156,450
AZE,31,7,12,25,44
BAH,0,14,11,15,40
BAR,0,0,0,1,1
BDI,108,1,1,0,2
BEL,56,98,197,173,468
BER,0,0,0,1,1
BLR,112,24,44,71,139
BOH,0,0,1,11,12
BOT,0,0,1,0,1
BRA,76,109,175,191,475
BRN,96,1,1,1,3
BUL,0,54,144,144,342
CAN,124,463,438,451,1352
CHI,0,3,9,20,32
CHN,156,350,347,292,989
CIV,384,1,1,1,3
CMR,120,20,1,1,22
COL,170,5,9,14,28
CRC,0,1,1,2,4
CRO,0,58,54,37,149
CUB,192,164,129,116,409
CYP,196,0,1,0,1
CZE,203,42,36,66,144
DEN,0,179,241,177,597
DJI,262,0,0,1,1
DOM,214,3,2,2,7
ECU,218,1,1,0,2
EGY,818,7,8,12,27
ERI,232,0,0,1,1
ESP,724,110,243,136,489
EST,233,13,12,25,50
ETH,231,22,9,22,53
EUN,0,127,71,81,279
FIJ,0,13,0,0,13
FIN,246,198,270,432,900
FRA,250,501,610,666,1777
FRG,0,159,194,233,586
GAB,266,0,1,0,1
GBR,826,678,739,651,2068
GDR,0,397,327,281,1005
GEO,268,8,6,18,32
GER,0,745,674,746,2165
GHA,288,0,1,22,23
GRE,0,62,109,84,255
GRN,0,1,1,0,2
GUA,0,0,1,0,1
GUY,328,0,0,1,1
HAI,0,1,1,5,7
HKG,0,1,2,1,4
HUN,348,432,332,371,1135
INA,0,11,17,13,41
IND,356,138,19,40,197
IOA,0,1,1,3,5
IRI,0,18,21,29,68
IRL,372,9,13,13,35
IRQ,368,0,0,1,1
ISL,352,0,15,2,17
ISR,376,1,1,7,9
ISV,0,0,1,0,1
ITA,380,575,531,531,1637
JAM,388,38,75,44,157
JOR,400,1,0,0,1
JPN,392,247,309,357,913
KAZ,398,20,25,32,77
KEN,404,34,41,31,106
KGZ,417,0,1,2,3
KOR,410,221,232,185,638
KOS,0,1,0,0,1
KSA,0,0,1,5,6
KUW,0,0,0,2,2
LAT,0,3,19,13,35
LIB,0,0,2,2,4
LIE,0,2,2,5,9
LTU,440,6,7,48,61
LUX,442,4,4,0,8
MAR,504,6,5,12,23
MAS,0,0,11,5,16
MDA,498,0,3,5,8
MEX,484,30,26,54,110
MGL,0,2,10,14,26
MKD,807,0,0,1,1
MNE,499,0,14,0,14
MON,0,0,0,1,1
MOZ,508,1,0,1,2
MRI,0,0,0,1,1
NAM,516,0,4,0,4
NED,0,287,340,413,1040
NEP,0,1,0,0,1
NGR,0,23,30,46,99
NIG,0,0,1,1,2
NOR,578,378,361,294,1033
NZL,554,90,56,82,228
PAK,586,42,45,34,121
PAN,591,1,0,2,3
PAR,0,0,17,0,17
PER,604,1,14,0,15
PHI,0,0,3,7,10
POL,616,117,195,253,565
POR,0,4,11,26,41
PRK,408,16,16,35,67
PUR,0,1,2,6,9
QAT,634,0,1,4,5
ROU,642,161,200,292,653
RSA,0,32,47,52,131
RUS,643,390,367,408,1165
SCG,0,12,26,26,64
SEN,686,0,1,0,1
SGP,0,1,4,4,9
SLO,0,8,13,27,48
SRB,688,15,29,41,85
SRI,0,0,2,0,2
SUD,0,0,1,0,1
SUI,0,175,248,268,691
SUR,740,1,0,1,2
SVK,703,15,19,13,47
SWE,752,479,522,535,1536
SYR,760,1,1,1,3
TAN,0,0,2,0,2
TCH,0,81,225,182,488
TGA,0,0,1,0,1
THA,764,9,8,13,30
TJK,762,1,1,2,4
TOG,0,0,0,1,1
TPE,0,3,28,18,49
TTO,780,7,8,17,32
TUN,788,3,3,7,13
TUR,792,40,27,28,95
UAE,0,1,0,1,2
UAR,0,0,1,1,2
UGA,800,2,3,2,7
UKR,804,47,52,100,199
URS,0,1082,732,689,2503
URU,0,31,2,30,63
USA,840,2638,1641,1358,5637
UZB,860,10,7,17,34
VEN,862,2,3,10,15
VIE,0,1,3,0,4
WIF,0,0,0,5,5
YUG,0,130,167,93,390
ZAM,0,0,1,1,2
ZIM,0,17,4,1,22
