noc,year,season,bronze_medals,gold_medals,silver_medals,total_medals
AFG,2008,Summer,1,0,0,1
AFG,2012,Summer,1,0,0,1
AHO,1988,Summer,0,0,1,1
ALG,1984,Summer,2,0,0,2
ALG,1992,Summer,1,1,0,2
ALG,1996,Summer,1,2,0,3
ALG,2000,Summer,3,1,1,5
ALG,2008,Summer,1,0,1,2
ALG,2012,Summer,0,1,0,1
ALG,2016,Summer,0,0,2,2
ANZ,1908,Summer,2,15,2,19
ANZ,1912,Summer,3,5,2,10
ARG,1924,Summer,2,5,3,10
ARG,1928,Summer,5,3,18,26
ARG,1932,Summer,0,3,1,4
ARG,1936,Summer,4,5,2,11
ARG,1948,Summer,1,3,7,11
ARG,1952,Summer,2,2,2,6
ARG,1956,Summer,1,0,1,2
ARG,1960,Summer,1,0,3,4
ARG,1964,Summer,0,0,1,1
ARG,1968,Summer,2,0,0,2
ARG,1972,Summer,0,0,1,1
ARG,1988,Summer,12,0,1,13
ARG,1992,Summer,2,0,0,2
ARG,1996,Summer,1,0,19,20
ARG,2000,Summer,3,0,17,20
ARG,2004,Summer,21,28,0,49
ARG,2008,Summer,31,20,0,51
ARG,2012,Summer,3,1,15,19
ARG,2016,Summer,0,21,1,22
ARM,1996,Summer,0,1,1,2
ARM,2000,Summer,1,0,0,1
ARM,2008,Summer,6,0,0,6
ARM,2012,Summer,2,0,1,3
ARM,2016,Summer,0,1,3,4
AUS,1896,Summer,1,2,0,3
AUS,1900,Summer,3,3,0,6
AUS,1904,Summer,1,0,3,4
AUS,1906,Summer,3,0,0,3
AUS,1920,Summer,1,0,6,7
AUS,1924,Summer,2,3,5,10
AUS,1924,Winter,0,1,0,1
AUS,1928,Summer,1,1,2,4
AUS,1932,Summer,1,3,1,5
AUS,1936,Summer,1,0,0,1
AUS,1948,Summer,5,2,9,16
AUS,1952,Summer,11,7,2,20
AUS,1956,Summer,26,28,13,67
AUS,1960,Summer,11,11,24,46
AUS,1964,Summer,30,8,6,44
AUS,1968,Summer,11,5,35,51
AUS,1972,Summer,2,11,7,20
AUS,1976,Summer,8,0,15,23
AUS,1980,Summer,5,6,2,13
AUS,1984,Summer,31,7,14,52
AUS,1988,Summer,11,18,6,35
AUS,1992,Summer,16,14,27,57
AUS,1994,Winter,4,0,0,4
AUS,1996,Summer,84,32,16,132
AUS,1998,Winter,1,0,0,1
AUS,2000,Summer,54,60,69,183
AUS,2002,Winter,0,2,0,2
AUS,2004,Summer,31,49,77,157
AUS,2006,Winter,1,1,0,2
AUS,2008,Summer,76,31,42,149
AUS,2010,Winter,0,2,1,3
AUS,2012,Summer,59,18,37,114
AUS,2014,Winter,1,0,2,3
AUS,2016,Summer,25,23,34,82
AUT,1896,Summer,2,2,1,5
AUT,1900,Summer,3,0,3,6
AUT,1904,Summer,1,2,1,4
AUT,1906,Summer,3,3,3,9
AUT,1908,Summer,1,0,0,1
AUT,1912,Summer,5,0,9,14
AUT,1924,Summer,1,0,3,4
AUT,1924,Winter,0,3,1,4
AUT,1928,Summer,2,3,0,5
AUT,1928,Winter,2,0,4,6
AUT,1932,Summer,3,1,1,5
AUT,1932,Winter,0,1,1,2
AUT,1936,Summer,7,6,42,55
AUT,1936,Winter,2,1,2,5
AUT,1948,Summer,4,2,2,8
AUT,1948,Winter,4,1,3,8
AUT,1952,Summer,2,0,1,3
AUT,1952,Winter,2,2,4,8
AUT,1956,Summer,4,0,0,4
AUT,1956,Winter,4,5,3,12
AUT,1960,Summer,0,1,2,3
AUT,1960,Winter,3,1,2,6
AUT,1964,Winter,3,5,9,17
AUT,1968,Summer,3,0,2,5
AUT,1968,Winter,4,3,8,15
AUT,1972,Summer,2,0,1,3
AUT,1972,Winter,2,1,2,5
AUT,1976,Summer,1,0,0,1
AUT,1976,Winter,3,2,2,7
AUT,1980,Summer,1,1,3,5
AUT,1980,Winter,3,3,2,8
AUT,1984,Summer,1,1,1,3
AUT,1984,Winter,1,0,0,1
AUT,1988,Summer,0,1,0,1
AUT,1988,Winter,4,3,5,12
AUT,1992,Summer,0,0,6,6
AUT,1992,Winter,10,9,10,29
AUT,1994,Winter,7,2,3,12
AUT,1996,Summer,2,0,1,3
AUT,1998,Winter,12,3,5,20
AUT,2000,Summer,0,3,1,4
AUT,2002,Winter,13,3,4,20
AUT,2004,Summer,1,3,4,8
AUT,2006,Winter,7,16,7,30
AUT,2008,Summer,2,0,1,3
AUT,2010,Winter,6,11,9,26
AUT,2014,Winter,11,4,12,27
AUT,2016,Summer,2,0,0,2
AZE,1996,Summer,0,0,1,1
AZE,2000,Summer,1,2,0,3
AZE,2004,Summer,4,1,0,5
AZE,2008,Summer,4,1,2,7
AZE,2012,Summer,6,2,2,10
AZE,2016,Summer,10,1,7,18
BAH,1956,Summer,2,0,0,2
BAH,1964,Summer,0,2,0,2
BAH,1992,Summer,1,0,0,1
BAH,1996,Summer,0,0,5,5
BAH,2000,Summer,5,6,0,11
BAH,2004,Summer,1,1,0,2
BAH,2008,Summer,1,0,6,7
BAH,2012,Summer,0,4,0,4
BAH,2016,Summer,5,1,0,6
BAR,2000,Summer,1,0,0,1
BDI,1996,Summer,0,1,0,1
BDI,2016,Summer,0,0,1,1
BEL,1900,Summer,13,6,24,43
BEL,1906,Summer,6,2,3,11
BEL,1908,Summer,8,1,24,33
BEL,1912,Summer,11,7,1,19
BEL,1920,Summer,66,57,65,188
BEL,1924,Summer,6,3,30,39
BEL,1924,Winter,5,0,0,5
BEL,1928,Summer,4,0,1,5
BEL,1928,Winter,1,0,0,1
BEL,1932,Summer,1,0,0,1
BEL,1936,Summer,14,0,0,14
BEL,1948,Summer,8,5,2,15
BEL,1948,Winter,0,2,4,6
BEL,1952,Summer,0,5,3,8
BEL,1956,Summer,0,0,2,2
BEL,1960,Summer,2,0,2,4
BEL,1964,Summer,1,2,0,3
BEL,1968,Summer,2,0,1,3
BEL,1972,Summer,0,0,2,2
BEL,1976,Summer,6,0,3,9
BEL,1980,Summer,0,1,0,1
BEL,1984,Summer,2,1,2,5
BEL,1988,Summer,2,0,0,2
BEL,1992,Summer,2,0,1,3
BEL,1996,Summer,2,2,2,6
BEL,1998,Winter,1,0,0,1
BEL,2000,Summer,4,0,3,7
BEL,2004,Summer,2,1,0,3
BEL,2008,Summer,0,1,4,5
BEL,2012,Summer,2,0,1,3
BEL,2016,Summer,2,2,17,21
BER,1976,Summer,1,0,0,1
