noc,season,year,Bronze,Gold,Silver,Total_Medals,numeric_id
AFG,Summer,2008,1,0,0,2009,4
AFG,Summer,2012,1,0,0,2013,4
AHO,Summer,1988,0,0,1,1989,0
ALG,Summer,1984,2,0,0,1986,0
ALG,Summer,1992,1,1,0,1994,0
ALG,Summer,1996,1,2,0,1999,0
ALG,Summer,2000,3,1,1,2005,0
ALG,Summer,2008,1,0,1,2010,0
ALG,Summer,2012,0,1,0,2013,0
ALG,Summer,2016,0,0,2,2018,0
ANZ,Summer,1908,2,15,2,1927,0
ANZ,Summer,1912,3,5,2,1922,0
ARG,Summer,1924,2,5,3,1934,32
ARG,Summer,1928,5,3,18,1954,32
ARG,Summer,1932,0,3,1,1936,32
ARG,Summer,1936,4,5,2,1947,32
ARG,Summer,1948,1,3,7,1959,32
ARG,Summer,1952,2,2,2,1958,32
ARG,Summer,1956,1,0,1,1958,32
ARG,Summer,1960,1,0,3,1964,32
ARG,Summer,1964,0,0,1,1965,32
ARG,Summer,1968,2,0,0,1970,32
ARG,Summer,1972,0,0,1,1973,32
ARG,Summer,1988,12,0,1,2001,32
ARG,Summer,1992,2,0,0,1994,32
ARG,Summer,1996,1,0,19,2016,32
ARG,Summer,2000,3,0,17,2020,32
ARG,Summer,2004,21,28,0,2053,32
ARG,Summer,2008,31,20,0,2059,32
ARG,Summer,2012,3,1,15,2031,32
ARG,Summer,2016,0,21,1,2038,32
ARM,Summer,1996,0,1,1,1998,51
ARM,Summer,2000,1,0,0,2001,51
ARM,Summer,2008,6,0,0,2014,51
ARM,Summer,2012,2,0,1,2015,51
ARM,Summer,2016,0,1,3,2020,51
AUS,Summer,1896,1,2,0,1899,36
AUS,Summer,1900,3,3,0,1906,36
AUS,Summer,1904,1,0,3,1908,36
AUS,Summer,1906,3,0,0,1909,36
AUS,Summer,1920,1,0,6,1927,36
AUS,Summer,1924,2,3,5,1934,36
AUS,Summer,1928,1,1,2,1932,36
AUS,Summer,1932,1,3,1,1937,36
AUS,Summer,1936,1,0,0,1937,36
AUS,Summer,1948,5,2,9,1964,36
